DDCTransactionId7006589840C2E6B900A1CABAC046DE10_49, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf73E35E74__6A7247B0617031C12C5991448722ACEE1F6F0537, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=10935 bytes, Retrieved=true, Duration=0.031784ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_50, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufDC721E05__D3FCFD0D7E6153A7A931C94FA9436898AA6649DE, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=47501 bytes, Retrieved=true, Duration=0.057273ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_51, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufDC721E05__51136511CED00EA7FBD6378B299EE26E5E0D688C, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=41213 bytes, Retrieved=true, Duration=0.040393ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_52, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufEE932653__434BD9798A97DBAADA6A7CB6C6C01D62A05E9272, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=97656 bytes, Retrieved=true, Duration=0.069857ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_53, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufEE932653__55159D3DDCA63EA1E4186ACA36C38821F039F3E7, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=64177 bytes, Retrieved=true, Duration=0.043370ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_54, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD10B7D22__35BCF593C6D849E7EC90BC616C3AC41299CFC367, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=26747 bytes, Retrieved=true, Duration=0.043042ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_55, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD10B7D22__A521E927E6B838BD55FDEA6F43DCEA39C2E2ABE9, StartTime=2015.11.29-17.50.35, HierarchicalDDC, DataSize=19576 bytes, Retrieved=true, Duration=0.035424ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_56, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf_TAtmosphe__CFD23D7E0ACEFC0B0B224E6D90B3E2AD598FA4F1, StartTime=2015.11.29-17.50.39, HierarchicalDDC, DataSize=1594531 bytes, Retrieved=true, Duration=3.801018ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
../../../Engine/Content/MobileResources/HUD/VirtualJoystick_Thumb.uasset, AllOfLoadPackage_Duration=0.679690ms, AllOfLoadPackage_HitCount=2, ResolveRedirectors_Duration=2941.479031ms, ResolveRedirectors_HitCount=2, CacheForCookedPlatformData_Duration=9.308703ms, CacheForCookedPlatformData_HitCount=1, UnsolicitedMarkup_Duration=4.612800ms, UnsolicitedMarkup_HitCount=1, SavePackageCacheForCookedPlatformData_Duration=44.845801ms, SavePackageCacheForCookedPlatformData_HitCount=242, SaveCookedPackage_Duration=3056.480244ms, SaveCookedPackage_HitCount=241, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_57, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE8B62895__C3C392A153352A468E90CE965FA77676171CA6D2, StartTime=2015.11.29-17.50.41, HierarchicalDDC, DataSize=49562 bytes, Retrieved=true, Duration=0.248965ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_58, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE8B62895__E128989E00C276EC2152ACA1432D15EF64B1908E, StartTime=2015.11.29-17.50.41, HierarchicalDDC, DataSize=42702 bytes, Retrieved=true, Duration=0.581358ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_59, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD022C857__2733C07186BEF933FB54BCABB55A8E5F264AF0C7, StartTime=2015.11.29-17.50.41, HierarchicalDDC, DataSize=514084 bytes, Retrieved=true, Duration=3.695075ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_60, CachedDataProbablyExists, Parent=DDCTransactionId7006589840C2E6B900A1CABAC046DE10_59, StartTime=2015.11.29-17.50.41, FileDDCPath=C:/Users/Matt/AppData/Local/UnrealEngine/Common/DerivedDataCache, Duration=0.165205ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
DDCTransactionId7006589840C2E6B900A1CABAC046DE10_61, GetCachedData, Parent=DDCTransactionId7006589840C2E6B900A1CABAC046DE10_59, StartTime=2015.11.29-17.50.41, FileDDCPath=C:/Users/Matt/AppData/Local/UnrealEngine/Common/DerivedDataCache, Retrieved=true, Duration=0.287700ms, RunGuid=RunID7F6DC52F43669E106D4086A760280A80
